Gene_ID	term
isogroup293560	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup93474	GO:0044434;GO:0044435
isogroup283991	GO:0044434;GO:0044435
isogroup242055	GO:0044434;GO:0044435
isogroup242055	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup286216	GO:0044434;GO:0044435
isogroup286216	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup283975	GO:0044434;GO:0044435
isogroup287624	GO:0044434;GO:0044435
isogroup282780	GO:0044434;GO:0044435
isogroup64691	GO:0044434;GO:0044435
isogroup291109	GO:0044434;GO:0044435
isogroup284006	GO:0044434;GO:0044435
isogroup289133	GO:0044434;GO:0044435
isogroup289133	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup280549	GO:0044434;GO:0044435
isogroup280549	GO:0009523;GO:0009521
isogroup280549	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup99469	GO:0044434;GO:0044435
isogroup31960	GO:0044434;GO:0044435
isogroup31960	GO:0009523;GO:0009521
isogroup31960	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup289636	GO:0044434;GO:0044435
isogroup32060	GO:0044434;GO:0044435
isogroup32060	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup80687	GO:0044434;GO:0044435
isogroup181603	GO:0044434;GO:0044435
isogroup26427	GO:0044434;GO:0044435
isogroup83565	GO:0044434;GO:0044435
isogroup286522	GO:0044434;GO:0044435
isogroup286522	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup284207	GO:0044434;GO:0044435
isogroup284207	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup288361	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup159727	GO:0044434;GO:0044435
isogroup286680	GO:0044434;GO:0044435
isogroup103106	GO:0044434;GO:0044435
isogroup30280	GO:0044434;GO:0044435
isogroup64707	GO:0044434;GO:0044435
isogroup239470	GO:0044434;GO:0044435
isogroup239470	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup288583	GO:0044434;GO:0044435
isogroup289725	GO:0044434;GO:0044435
isogroup87097	GO:0044434;GO:0044435
isogroup283792	GO:0044434;GO:0044435
isogroup103355	GO:0044434;GO:0044435
isogroup65670	GO:0044434;GO:0044435
isogroup122580	GO:0044434;GO:0044435
isogroup24687	GO:0044434;GO:0044435
isogroup24687	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup282047	GO:0044434;GO:0044435
isogroup122007	GO:0044434;GO:0044435
isogroup289307	GO:0044434;GO:0044435
isogroup295512	GO:0044434;GO:0044435
isogroup243990	GO:0044434;GO:0044435
isogroup243990	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup282221	GO:0044434;GO:0044435
isogroup282221	GO:0009523;GO:0009521
isogroup282221	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup25918	GO:0044434;GO:0044435
isogroup286757	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup286891	GO:0044434;GO:0044435
isogroup25745	GO:0044434;GO:0044435
isogroup123876	GO:0044434;GO:0044435
isogroup71292	GO:0044434;GO:0044435
isogroup71292	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup231712	GO:0044434;GO:0044435
isogroup231712	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup283428	GO:0044434;GO:0044435
isogroup121237	GO:0044434;GO:0044435
isogroup121237	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup279931	GO:0044434;GO:0044435
isogroup284232	GO:0044434;GO:0044435
isogroup279821	GO:0044434;GO:0044435
isogroup279821	GO:0009523;GO:0009521
isogroup279821	GO:0030076
isogroup279821	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup288019	GO:0044434;GO:0044435
isogroup288019	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup122241	GO:0044434;GO:0044435
isogroup86627	GO:0044434;GO:0044435
isogroup61785	GO:0044434;GO:0044435
isogroup61785	GO:0009523;GO:0009521
isogroup61785	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup227574	GO:0044434;GO:0044435
isogroup227574	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup279452	GO:0044434;GO:0044435
isogroup279452	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup284249	GO:0044434;GO:0044435
isogroup284249	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup282099	GO:0044434;GO:0044435
isogroup282584	GO:0044434;GO:0044435
isogroup83421	GO:0044434;GO:0044435
isogroup21164	GO:0044434;GO:0044435
isogroup283314	GO:0044434;GO:0044435
isogroup291561	GO:0044434;GO:0044435
isogroup186407	GO:0044434;GO:0044435
isogroup186407	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup102693	GO:0044434;GO:0044435
isogroup19775	GO:0044434;GO:0044435
isogroup281286	GO:0044434;GO:0044435
isogroup281286	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup299326	GO:0044434;GO:0044435
isogroup280590	GO:0044434;GO:0044435
isogroup202496	GO:0044434;GO:0044435
isogroup279282	GO:0044434;GO:0044435
isogroup279282	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup280882	GO:0044434;GO:0044435
isogroup288527	GO:0044434;GO:0044435
isogroup288527	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup25003	GO:0044434;GO:0044435
isogroup25003	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup280618	GO:0044434;GO:0044435
isogroup280618	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup281870	GO:0044434;GO:0044435
isogroup286066	GO:0044434;GO:0044435
isogroup285532	GO:0044434;GO:0044435
isogroup300665	GO:0044434;GO:0044435
isogroup98966	GO:0044434;GO:0044435
isogroup98966	GO:0009523;GO:0009521
isogroup98966	GO:0030076
isogroup98966	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup97767	GO:0044434;GO:0044435
isogroup282696	GO:0044434;GO:0044435
isogroup70278	GO:0044434;GO:0044435
isogroup228246	GO:0044434;GO:0044435
isogroup277467	GO:0044434;GO:0044435
isogroup65854	GO:0044434;GO:0044435
isogroup82423	GO:0044434;GO:0044435
isogroup173587	GO:0044434;GO:0044435
isogroup280104	GO:0044434;GO:0044435
isogroup281714	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup30464	GO:0044434;GO:0044435
isogroup277242	GO:0044434;GO:0044435
isogroup212231	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup172542	GO:0044434;GO:0044435
isogroup282710	GO:0044434;GO:0044435
isogroup280302	GO:0044434;GO:0044435
isogroup107621	GO:0044434;GO:0044435
isogroup277057	GO:0044434;GO:0044435
isogroup277057	GO:0009523;GO:0009521
isogroup277057	GO:0030076
isogroup277057	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup118304	GO:0044434;GO:0044435
isogroup275427	GO:0044434;GO:0044435
isogroup275787	GO:0044434;GO:0044435
isogroup275787	GO:0009523;GO:0009521
isogroup275787	GO:0030076
isogroup275787	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup276347	GO:0044434;GO:0044435
isogroup276347	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup285875	GO:0044434;GO:0044435
isogroup279220	GO:0044434;GO:0044435
isogroup279220	GO:0009523;GO:0009521
isogroup279220	GO:0030076
isogroup279220	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup85305	GO:0044434;GO:0044435
isogroup278709	GO:0044434;GO:0044435
isogroup282615	GO:0044434;GO:0044435
isogroup226534	GO:0044434;GO:0044435
isogroup226534	GO:0009523;GO:0009521
isogroup226534	GO:0030076
isogroup226534	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup209289	GO:0044434;GO:0044435
isogroup209289	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup49476	GO:0044434;GO:0044435
isogroup49476	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup277589	GO:0044434;GO:0044435
isogroup183123	GO:0044434;GO:0044435
isogroup275148	GO:0044434;GO:0044435
isogroup276662	GO:0044434;GO:0044435
isogroup276662	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup236369	GO:0044434;GO:0044435
isogroup236369	GO:0009523;GO:0009521
isogroup236369	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup278633	GO:0044434;GO:0044435
isogroup155518	GO:0044434;GO:0044435
isogroup155518	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup75169	GO:0044434;GO:0044435
isogroup75169	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup56794	GO:0044434;GO:0044435
isogroup56794	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup60758	GO:0044434;GO:0044435
isogroup60758	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup219483	GO:0044434;GO:0044435
isogroup118336	GO:0044434;GO:0044435
isogroup118336	GO:0009523;GO:0009521
isogroup118336	GO:0030076
isogroup118336	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup238965	GO:0044434;GO:0044435
isogroup238965	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup76347	GO:0044434;GO:0044435
isogroup275570	GO:0044434;GO:0044435
isogroup233863	GO:0044434;GO:0044435
isogroup233863	GO:0009523;GO:0009521
isogroup233863	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup276113	GO:0044434;GO:0044435
isogroup182878	GO:0044434;GO:0044435
isogroup182878	GO:0009523;GO:0009521
isogroup182878	GO:0030076
isogroup182878	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup181992	GO:0044434;GO:0044435
isogroup181992	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
