Gene_ID	term
195	isogroup32060	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
196	isogroup80687	GO:0044434;GO:0044435
197	isogroup181603	GO:0044434;GO:0044435
198	isogroup26427	GO:0044434;GO:0044435
199	isogroup83565	GO:0044434;GO:0044435
200	isogroup286522	GO:0044434;GO:0044435
201	isogroup286522	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
202	isogroup284207	GO:0044434;GO:0044435
203	isogroup284207	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
204	isogroup288361	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
205	isogroup159727	GO:0044434;GO:0044435
206	isogroup286680	GO:0044434;GO:0044435
207	isogroup103106	GO:0044434;GO:0044435
208	isogroup30280	GO:0044434;GO:0044435
209	isogroup64707	GO:0044434;GO:0044435
210	isogroup239470	GO:0044434;GO:0044435
211	isogroup239470	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
212	isogroup288583	GO:0044434;GO:0044435
213	isogroup289725	GO:0044434;GO:0044435
214	isogroup87097	GO:0044434;GO:0044435
215	isogroup283792	GO:0044434;GO:0044435
216	isogroup103355	GO:0044434;GO:0044435
217	isogroup65670	GO:0044434;GO:0044435
218	isogroup122580	GO:0044434;GO:0044435
219	isogroup24687	GO:0044434;GO:0044435
220	isogroup24687	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
221	isogroup282047	GO:0044434;GO:0044435
222	isogroup122007	GO:0044434;GO:0044435
223	isogroup289307	GO:0044434;GO:0044435
224	isogroup295512	GO:0044434;GO:0044435
225	isogroup243990	GO:0044434;GO:0044435
226	isogroup243990	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
227	isogroup282221	GO:0044434;GO:0044435
228	isogroup282221	GO:0009523;GO:0009521
229	isogroup282221	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
230	isogroup25918	GO:0044434;GO:0044435
231	isogroup286757	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
232	isogroup286891	GO:0044434;GO:0044435
233	isogroup25745	GO:0044434;GO:0044435
234	isogroup123876	GO:0044434;GO:0044435
235	isogroup71292	GO:0044434;GO:0044435
236	isogroup71292	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
237	isogroup231712	GO:0044434;GO:0044435
238	isogroup231712	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
239	isogroup283428	GO:0044434;GO:0044435
